zpid,garageSpaces,parkingSpaces,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures
111373431,2,2,0,5,2,1,3,0,1,0
120900430,2,2,0,1,2,0,0,0,0,0
2084491383,0,0,0,4,1,0,1,0,0,0
120901374,2,2,0,0,2,0,0,0,0,0
60134862,0,0,0,0,1,0,0,0,0,0
2080105342,2,2,0,3,1,2,2,0,0,0
241932337,0,0,0,3,1,0,0,0,0,0
60134835,0,0,0,3,1,0,0,0,0,0
60134833,0,0,0,2,1,1,1,0,0,0
83827468,2,2,0,3,2,0,0,0,0,0
241932327,2,2,0,3,2,0,3,0,0,0
241930967,0,0,0,4,1,0,0,0,0,0
69808966,2,2,0,4,2,1,0,0,0,0
64520966,0,0,0,4,1,0,0,0,0,0
83813460,2,2,0,2,2,1,1,0,0,0
29470450,2,2,0,4,2,3,1,0,1,0
70341946,2,2,0,3,2,0,0,0,0,0
116080992,0,0,0,4,2,0,0,0,0,0
88013985,2,2,0,6,3,0,0,0,0,0
70344594,2,2,1,2,2,1,0,0,0,0
185217484,0,0,0,3,2,0,0,0,0,0
121719682,2,0,0,7,2,2,0,0,0,1
116080981,2,2,0,4,3,0,0,0,0,0
83822421,2,2,0,3,2,0,0,0,0,0
29462564,2,2,0,4,2,2,0,0,0,0
70355992,2,2,2,3,2,1,1,0,0,0
89659978,3,3,0,3,3,2,1,0,1,0
70355990,2,2,0,5,2,0,0,0,0,0
70333917,2,2,0,8,2,4,1,0,0,0
29471292,2,2,0,1,2,2,2,0,1,0
241932966,2,2,0,4,2,0,0,0,0,0
116080975,2,2,0,3,3,1,0,0,2,0
145656987,0,0,0,7,1,0,0,0,0,0
83821490,0,0,0,1,0,0,0,0,0,0
70333915,0,0,0,4,1,1,3,0,1,0
29462467,0,0,0,4,1,0,1,0,0,0
89548387,0,0,0,4,1,0,0,0,0,0
29366912,7,7,0,7,2,0,0,0,0,0
241932964,2,2,0,7,2,0,0,0,0,0
29376494,2,2,0,2,2,2,2,0,1,0
69808963,0,0,0,6,1,0,0,0,0,0
121656950,0,0,0,2,0,0,0,0,0,0
185217474,0,0,0,5,2,2,0,0,2,0
29366911,2,2,0,4,3,3,0,2,0,0
145657963,2,2,0,4,2,1,4,0,0,0
29370494,2,2,0,6,2,2,2,0,0,0
89548844,0,0,0,3,1,0,0,0,0,0
125901465,2,2,0,5,2,1,1,0,0,0
63228462,0,0,0,0,1,0,0,0,0,0
96639474,0,0,0,3,2,2,1,0,1,0
80094409,5,5,0,4,4,0,0,0,0,0
64431038,0,0,0,2,1,3,2,0,0,0
89547842,0,0,0,5,1,0,0,0,0,0
251030464,1,1,0,3,2,0,0,0,0,0
29376491,0,0,0,3,1,0,0,0,0,0
241932962,2,2,0,4,2,1,1,0,1,0
64729016,2,2,0,3,2,2,0,0,0,0
70355962,2,2,0,5,2,1,1,0,0,0
29376490,2,2,0,5,2,1,1,0,0,0
29366907,6,6,0,2,2,0,0,0,0,0
250825472,2,2,0,4,3,1,2,0,1,0
89550834,0,0,0,5,1,0,0,0,0,0
64674953,2,2,0,2,2,0,0,0,0,0
29374483,2,2,0,4,2,1,0,0,0,0
29461422,0,0,0,2,1,0,1,0,0,0
116080970,0,0,0,3,2,1,0,0,0,0
70333905,0,0,0,3,1,0,0,0,0,0
29557482,6,6,0,4,3,0,0,0,0,0
241932948,0,0,0,4,1,0,0,0,1,0
29461406,0,0,0,3,1,1,0,0,0,0
2081704483,2,2,0,3,1,0,1,0,1,0
116080962,0,0,0,2,2,1,0,0,0,0
29376480,4,4,0,2,2,2,0,0,2,0
241932946,0,0,0,4,1,0,0,0,0,0
29351492,0,0,0,3,1,0,0,0,0,0
241932900,0,0,0,3,1,0,0,0,0,0
29370900,2,2,0,2,2,1,3,0,0,0
110538990,0,0,0,2,1,0,0,0,0,0
29372980,0,0,0,2,1,0,0,0,0,0
29459947,2,2,0,7,2,0,0,0,1,0
241932936,2,2,0,2,2,1,0,0,0,0
89550803,2,2,0,2,2,1,1,0,0,0
29370898,2,2,0,3,2,0,0,0,0,0
29358990,0,0,0,5,1,0,0,0,0,0
116080957,0,0,0,3,2,0,0,0,0,0
111373282,2,2,0,3,2,0,0,0,0,0
29375979,0,0,0,7,1,2,1,0,1,0
241932935,0,0,0,4,1,0,0,0,0,0
80115957,2,2,0,4,3,1,1,0,1,0
29370894,0,0,0,3,1,0,0,0,0,0
121658485,2,2,0,3,2,0,0,0,0,0
29375978,0,0,0,3,1,1,1,0,1,0
145654939,0,0,0,3,1,0,0,0,1,0
29370884,2,2,0,3,2,1,2,0,1,0
29351485,0,0,0,7,1,0,2,0,1,0
29372475,2,2,0,3,2,1,1,0,0,0
185218453,2,2,0,4,3,2,1,0,1,0
29392994,0,0,0,1,1,0,0,0,0,0
111371253,0,0,0,4,1,0,0,0,0,0
2088245915,0,0,0,4,1,0,0,0,0,0
29373974,2,2,0,3,2,0,0,0,0,0
29360984,2,2,0,7,2,0,1,0,1,0
241932874,4,4,0,3,2,0,0,0,0,0
145551433,0,0,0,3,1,2,1,0,0,0
29376473,0,0,0,0,1,0,0,0,0,0
305430992,2,2,0,1,2,2,2,0,1,0
251030246,2,2,0,3,2,0,1,0,0,0
29347484,3,3,0,2,2,0,0,0,0,0
69811366,0,0,0,3,1,0,0,0,0,0
116080950,0,0,0,3,2,0,0,0,0,0
29370873,0,0,0,5,1,1,0,0,0,0
83814991,0,0,0,3,1,0,0,0,0,0
29375973,5,5,0,7,2,3,1,0,0,0
116080945,0,0,0,3,2,0,0,0,0,0
29370860,2,2,0,1,3,4,2,0,0,0
249890717,2,2,0,3,2,0,1,0,1,0
2082177903,0,0,0,0,0,1,0,0,0,0
63835425,2,2,0,4,2,0,0,0,0,0
70341361,0,0,0,5,1,0,0,0,1,0
29358983,2,2,0,4,2,1,0,0,1,0
29374973,4,4,1,3,2,5,3,0,0,0
89550707,4,4,0,4,2,1,3,0,0,0
114405230,0,0,0,3,1,0,0,0,0,0
29459909,0,0,0,4,1,0,0,0,1,0
29375972,0,0,0,0,1,0,0,0,0,0
29396983,2,2,0,2,2,0,0,0,0,0
58299481,0,0,0,0,1,0,0,0,0,0
145656393,0,0,0,7,1,2,2,0,1,0
116080940,2,2,0,6,3,0,0,0,0,0
29370850,2,2,0,1,2,0,0,0,0,0
29459907,0,0,0,5,1,0,0,0,0,0
29374967,2,2,0,7,2,1,2,0,1,0
2082038175,0,0,0,2,0,0,0,0,0,0
29358997,2,2,0,1,2,2,0,0,0,0
70341359,2,2,0,7,2,0,0,0,0,0
185217435,0,0,0,3,2,0,0,0,0,0
120898222,2,2,0,4,2,1,2,0,0,0
83823977,0,0,0,4,1,0,0,0,0,0
70352470,3,3,0,4,3,0,1,0,1,0
145551402,2,2,0,4,2,1,1,0,0,0
29355980,4,4,0,3,2,0,0,0,0,0
29465172,0,0,0,1,0,0,0,0,0,0
58300466,2,2,0,5,2,0,3,0,1,0
29438720,2,2,0,3,2,0,0,0,0,0
29459899,0,0,0,4,1,0,0,0,0,0
64812856,0,0,0,0,1,0,0,0,0,0
70352465,3,3,0,3,2,2,1,0,1,0
145655881,2,2,0,4,2,2,1,0,1,0
2079153478,2,2,0,3,2,1,1,0,1,0
29366849,2,2,0,3,2,1,1,0,0,0
185217434,0,0,0,3,2,0,0,0,0,0
58265966,2,2,0,4,3,2,2,0,0,0
63835398,2,2,0,3,2,0,0,0,0,0
70352461,3,3,0,4,2,0,0,0,0,0
29396970,2,2,0,3,2,0,0,0,0,0
29438718,0,0,0,3,1,0,0,0,0,0
29370839,0,0,0,3,1,0,0,0,1,0
2132333345,0,0,0,2,0,0,0,0,0,0
29376465,3,3,0,0,2,1,2,0,0,0
29358978,2,2,0,5,2,0,0,0,0,0
121658390,0,0,0,4,0,0,0,0,0,0
89028960,0,0,0,4,1,1,0,0,1,0
80093467,0,0,0,4,1,0,0,0,0,0
250180857,0,0,0,3,1,0,0,0,0,0
29372965,0,0,0,4,1,0,0,0,0,0
185217429,2,2,0,0,3,2,0,0,0,0
89551997,0,0,0,1,2,0,0,0,0,0
29353978,4,4,0,4,4,0,2,0,2,0
2089686965,0,0,0,2,0,0,0,0,0,0
29370836,0,0,0,3,1,1,2,0,1,0
29375964,4,4,0,1,2,3,1,0,0,0
116080928,3,3,0,3,3,1,0,0,1,0
29353976,0,0,0,3,1,0,0,0,0,0
29459882,0,0,0,4,1,0,0,0,0,0
2087922352,0,0,0,3,1,0,0,0,0,0
29366834,0,0,0,0,0,0,0,0,0,0
29465145,1,1,0,2,2,2,1,0,1,0
80090962,2,2,0,4,2,2,1,0,0,0
29374964,2,2,0,5,2,2,2,0,1,0
120896203,2,2,0,2,4,0,0,0,0,0
70341343,0,0,0,4,1,0,0,0,0,0
70338381,2,2,0,3,2,0,0,0,0,0
29362475,0,0,0,3,1,0,0,0,0,0
185217426,2,2,0,4,3,3,3,0,0,0
124843021,4,4,0,8,3,0,0,0,0,0
64533962,1,1,0,4,2,0,0,0,0,0
249710345,2,2,0,6,2,0,1,0,0,0
29459881,0,0,0,3,1,0,0,0,0,0
83814445,0,0,0,5,1,2,3,0,1,0
89552136,0,0,0,3,1,0,0,0,0,0
124154926,4,4,0,3,3,2,2,0,0,0
29396959,2,2,0,1,2,0,0,0,0,0
2087686692,2,2,0,3,2,1,1,0,1,0
89545951,0,0,0,5,2,1,2,0,1,0
29353975,0,0,0,3,1,0,0,0,0,0
29373963,2,2,0,8,2,0,0,0,0,0
79981880,2,2,0,2,2,0,0,0,0,0
251035839,3,3,0,3,2,1,1,0,0,0
96636926,0,0,0,5,2,0,0,0,0,0
29396958,2,2,0,4,2,2,1,0,1,0
83820449,4,4,0,8,2,0,0,0,0,0
29370826,0,0,0,8,1,1,2,0,1,0
29360969,2,2,0,6,2,0,0,0,0,0
29375962,0,0,0,2,1,1,0,0,0,0
243333921,0,0,0,4,2,0,0,0,0,0
145657839,2,2,0,1,2,0,0,0,0,0
29343949,2,2,0,5,4,0,0,0,0,0
29370822,2,2,0,5,2,1,2,0,2,0
69814957,3,3,0,2,2,0,0,0,0,0
29351469,0,0,0,7,1,3,1,0,1,0
29344952,0,0,0,2,2,0,0,0,0,0
29374462,0,0,0,3,1,1,1,0,2,0
145658835,0,0,0,3,1,0,0,0,0,0
70341334,0,0,0,3,1,0,0,0,0,0
29370820,0,0,0,4,1,1,1,0,3,0
29392931,0,0,0,2,1,0,0,0,0,0
79981874,2,2,0,1,2,0,0,0,0,0
29344951,2,2,0,5,2,0,0,0,0,0
29377461,3,3,0,3,2,0,0,0,0,0
29343946,0,0,0,0,0,0,0,0,0,0
124154920,0,0,0,6,2,0,0,0,0,0
145658832,0,0,0,4,1,0,0,0,0,0
29370806,0,0,0,3,1,0,0,0,2,0
83816428,0,0,0,4,1,0,0,0,0,0
29343454,2,2,0,3,2,1,0,0,0,0
29334450,2,2,0,5,2,1,0,0,0,0
64901960,3,3,0,4,2,0,2,0,0,0
29360963,0,0,0,0,1,0,0,0,0,0
145658831,2,2,0,5,2,0,1,0,1,0
145657822,2,2,0,6,2,1,0,0,0,0
64918941,4,4,0,5,3,3,0,0,0,0
29370800,3,3,0,7,2,1,2,0,1,0
246905609,0,0,0,2,1,1,1,0,0,0
90240442,2,2,0,3,2,0,0,0,0,0
120895447,0,0,0,3,1,0,0,0,0,0
29375958,0,0,0,2,0,0,0,0,0,0
29358963,2,2,0,4,2,1,1,0,2,0
29341440,3,3,0,4,3,2,2,0,0,0
29344947,0,0,0,1,1,3,0,0,1,0
90240441,0,0,0,8,1,0,0,0,0,0
89553418,0,0,0,4,2,0,0,0,0,0
144334371,0,0,0,2,1,1,0,0,0,0
29396923,2,2,0,3,2,0,1,0,0,0
121655462,2,2,0,3,2,1,2,0,1,0
114405939,3,3,0,4,2,2,0,0,0,0
29344946,0,0,0,3,1,2,2,0,1,0
70338371,2,2,0,2,2,0,0,0,0,0
185217414,2,2,0,4,3,0,0,0,0,0
83821443,3,3,0,3,3,0,0,1,0,0
2108947312,0,0,0,2,1,0,0,0,0,0
29578456,0,0,0,6,2,0,0,0,1,0
89550945,3,3,0,8,2,0,0,0,0,0
58298457,3,3,0,3,2,3,1,0,0,0
29459868,2,2,0,8,2,0,0,0,0,0
305432656,1,1,0,2,2,0,0,0,0,0
83823430,2,2,0,4,2,2,1,0,1,0
29341439,3,3,0,8,2,0,0,0,0,0
83813736,0,0,0,0,1,0,0,0,0,0
251036682,3,3,0,7,4,2,0,0,0,1
29377453,2,2,0,6,2,0,0,0,0,0
58298456,5,5,0,2,3,0,0,0,0,0
64455725,2,2,0,3,3,0,0,0,0,0
124842807,0,0,0,4,1,0,0,0,0,0
248957890,4,4,0,2,2,3,1,0,0,0
114405941,4,4,0,1,2,3,1,0,1,0
29377451,0,0,0,3,1,0,0,0,0,0
83814922,0,0,0,4,1,0,0,0,0,0
58298866,2,2,0,5,2,2,1,0,0,0
111370914,2,2,0,1,2,0,0,0,0,0
29341434,0,0,0,0,2,0,0,0,0,0
29368693,2,2,0,4,3,0,0,0,0,0
79981862,2,2,0,4,2,0,0,0,0,0
145656291,0,0,0,4,1,1,0,0,0,0
29465089,0,0,0,3,0,0,0,0,0,0
83827917,2,2,0,2,2,1,1,0,0,0
241930950,3,3,0,3,2,2,2,0,1,0
58298454,3,3,0,4,2,0,0,0,0,0
70323938,0,0,0,3,1,0,0,0,0,0
2080854860,0,0,0,1,0,1,1,0,0,0
29368684,3,3,0,3,4,1,2,0,2,0
29346937,1,1,0,2,2,0,1,0,0,0
29360950,0,0,0,3,1,0,0,0,0,0
145656290,0,0,0,3,1,1,2,0,1,0
29341421,3,3,0,4,2,0,0,0,0,0
29375949,0,0,0,4,1,0,0,0,0,0
145655859,0,0,0,3,1,2,3,0,1,0
83819673,2,2,0,4,2,1,2,0,1,0
29344936,0,0,0,0,1,0,0,0,0,0
29353950,0,0,0,3,1,0,0,0,0,0
249912949,3,3,0,0,2,0,0,0,0,0
29344920,3,3,0,1,2,0,0,0,0,0
89651406,0,0,0,4,2,0,0,0,0,0
2089992289,0,0,0,3,0,1,2,0,0,0
29368449,2,2,0,3,2,0,1,0,0,0
89551588,2,2,0,4,2,0,0,0,0,0
80103408,4,4,0,3,2,0,0,0,0,0
29368659,4,4,0,6,3,0,0,0,0,0
83828934,0,0,0,0,1,0,0,0,0,0
58298947,2,2,0,4,2,1,0,0,0,0
241936636,2,2,0,2,2,0,0,0,0,0
58265948,2,2,0,0,3,0,0,0,0,0
58297915,0,0,0,4,1,2,0,0,0,0
89548573,1,1,0,2,2,0,0,0,0,0
83123896,3,3,0,4,2,0,0,0,0,0
64750934,1,1,0,5,2,0,1,0,0,0
29355947,0,0,0,4,2,1,0,0,1,0
29368658,0,0,0,4,1,0,0,0,0,0
120290135,0,0,0,8,1,0,0,0,0,0
29341415,0,0,0,2,1,0,0,0,0,0
58265946,0,0,0,2,2,0,0,0,0,0
241938280,2,2,0,5,2,0,0,0,0,0
70330433,3,3,0,4,2,0,0,0,0,0
29396905,2,2,0,2,2,0,0,0,0,0
29361022,2,2,0,7,2,3,2,0,0,0
241936634,0,0,0,2,2,0,0,0,0,0
29376446,2,2,0,4,2,3,2,0,0,0
2080460279,2,2,0,2,1,2,3,0,1,0
80093390,3,3,0,1,2,1,2,0,1,0
29343408,2,2,0,9,2,0,0,0,0,0
70330432,3,3,0,4,2,3,1,0,0,0
63835353,0,0,0,3,1,0,0,0,0,0
29396904,2,2,0,3,2,0,0,0,0,0
121719897,2,2,0,6,3,2,4,0,0,0
29351445,0,0,0,4,1,0,0,0,0,0
29368642,2,2,0,9,3,3,4,0,0,0
29370446,0,0,0,4,1,0,0,0,0,0
70352485,0,0,0,3,1,0,0,0,0,0
29344931,2,2,0,8,2,0,0,0,0,0
29459853,2,2,0,2,2,0,0,0,0,0
89663390,4,4,0,9,3,0,0,0,0,0
145654553,2,2,0,5,2,0,0,0,0,0
29341408,2,2,0,8,3,4,2,0,3,1
241936631,0,0,0,4,1,1,2,0,0,0
29376445,2,2,0,5,2,2,1,0,0,0
29373139,0,0,0,0,2,0,0,0,0,0
83124879,2,2,0,4,2,0,0,0,0,0
70336928,0,0,0,4,1,0,0,0,0,0
70338352,0,0,0,4,1,0,0,0,0,0
88014884,2,2,0,4,3,0,0,0,1,0
29351440,0,0,0,6,1,0,0,0,0,0
29370832,4,4,0,2,2,3,1,0,0,0
29368445,0,0,0,1,1,0,0,0,0,0
125158378,0,0,0,2,1,2,1,0,1,0
70338351,0,0,0,4,1,2,0,0,1,0
29342428,0,0,0,3,2,0,0,0,0,0
125792770,0,0,0,4,1,1,1,0,0,0
29355939,0,0,0,0,1,0,0,0,0,0
29343407,2,2,0,3,2,2,2,0,1,0
88013884,2,2,0,8,3,0,0,0,0,0
29368633,0,0,0,4,1,0,1,0,3,0
29374944,2,2,0,4,3,0,0,0,0,0
83824877,3,3,0,6,2,0,0,0,0,1
249891260,2,2,0,4,2,2,1,0,0,0
29344906,4,4,0,1,2,0,0,0,0,0
29351438,0,0,0,8,1,1,1,0,0,0
29342427,2,2,0,3,2,0,0,0,0,0
29368632,0,0,0,0,1,0,0,0,0,0
29396897,2,2,0,2,3,0,0,0,0,0
29372944,2,2,0,8,2,0,0,0,0,0
83124877,2,2,0,4,2,0,0,0,0,0
63837777,1,1,0,4,2,1,1,0,0,0
29461349,2,2,0,3,2,0,0,0,0,0
70336926,0,0,0,2,1,0,0,0,0,0
119984117,0,0,0,7,1,1,1,0,1,0
58298435,0,0,0,5,1,0,0,0,0,0
29368631,0,0,0,1,1,0,0,0,0,0
29343404,3,3,0,5,2,3,0,0,0,0
111373376,2,2,0,4,2,2,2,0,2,0
29376441,2,2,0,3,3,1,2,0,2,0
145656010,0,0,0,5,1,0,0,0,0,0
241936613,0,0,0,2,1,0,0,0,0,0
29342426,2,2,0,2,2,1,0,0,2,0
29351434,2,2,0,4,2,0,0,0,0,0
251030758,2,2,0,4,2,2,0,0,0,0
29368608,3,3,0,5,2,2,2,0,1,0
89551873,6,6,0,3,2,0,0,0,0,0
125792898,2,2,0,5,2,3,3,0,0,0
83827393,0,0,0,4,1,0,0,0,0,0
89551502,0,0,0,3,1,0,0,0,0,0
29374438,2,2,0,2,2,0,0,0,0,0
29342422,2,2,0,3,2,0,0,0,0,0
70331933,2,2,0,4,2,2,1,0,2,0
29368601,0,0,0,3,2,1,0,0,1,0
80104872,2,2,0,6,2,0,0,0,0,0
