,homeType,hasGarage,hasCooling,hasHeating,hasView,yearBuilt,latestPrice,latest_saleyear,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories
0,Single Family,True,True,True,False,2012,305000.0,2019,6011.0,2601.0,3.0,4,2
1,Single Family,True,True,True,False,2013,295000.0,2020,6185.0,1768.0,2.0,4,1
2,Single Family,False,True,True,False,2018,256125.0,2019,7840.0,1478.0,2.0,3,1
3,Single Family,True,True,True,False,2013,240000.0,2018,6098.0,1678.0,2.0,3,1
4,Single Family,False,True,True,False,2002,239900.0,2018,6708.0,2132.0,3.0,3,2
5,Single Family,True,True,True,False,2020,309045.0,2020,5161.0,1446.0,2.0,3,1
6,Single Family,False,False,False,False,2016,315000.0,2020,12196.8,2432.0,3.0,4,2
7,Single Family,False,True,True,False,2002,219900.0,2018,5140.0,1422.0,3.0,3,2
8,Single Family,False,True,True,False,2002,225000.0,2019,3811.0,1870.0,2.0,3,2
9,Single Family,True,True,True,False,2013,194800.0,2018,5183.0,1422.0,3.0,3,2
10,Single Family,True,True,True,False,2016,279900.0,2020,5401.0,1580.0,2.0,3,1
11,Single Family,False,True,True,False,2016,250000.0,2019,4965.0,2281.0,3.0,3,2
12,Single Family,True,True,True,True,2005,239900.0,2020,6011.0,1762.0,2.0,4,1
13,Single Family,False,True,True,False,2003,200000.0,2018,6926.0,1326.0,2.0,3,1
14,Single Family,True,True,True,False,2010,131679.0,2020,10846.0,1655.0,3.0,3,2
15,Single Family,True,True,True,False,2000,200000.0,2020,6621.0,1228.0,2.0,3,1
16,Single Family,True,True,True,False,2009,212000.0,2019,10802.0,1752.0,2.0,4,1
17,Single Family,False,True,True,False,2014,687850.0,2018,10672.0,4564.0,6.0,5,2
18,Single Family,True,True,True,True,2007,409000.0,2018,9060.0,3233.0,4.0,5,2
19,Single Family,True,True,True,False,2006,199000.0,2020,7448.0,1511.0,2.0,3,1
20,Single Family,False,True,True,False,2008,400000.0,2020,7666.0,2228.0,2.0,3,1
21,Residential,True,True,True,False,2015,699000.0,2020,10890.0,4020.0,4.0,4,2
22,Single Family,True,True,True,False,2013,549900.0,2018,8494.0,3494.0,5.0,4,2
23,Mobile / Manufactured,True,True,True,False,2007,350000.0,2019,107593.2,1216.0,5.0,8,1
24,Single Family,True,True,True,False,1999,240000.0,2020,5183.0,1534.0,3.0,3,1
25,Single Family,True,True,True,False,2013,249900.0,2020,7405.0,1738.0,2.0,3,1
26,Single Family,True,True,True,False,2010,400000.0,2020,12196.8,2630.0,3.0,5,2
27,Single Family,True,True,True,False,2012,200000.0,2018,8145.0,1652.0,2.0,3,1
28,Single Family,True,True,True,True,2004,875000.0,2020,30056.4,3402.0,4.0,4,2
29,Single Family,True,True,True,False,1970,164995.0,2020,102366.0,2350.0,2.0,3,1
30,Single Family,True,True,True,False,2016,287500.0,2019,6141.0,1634.0,2.0,3,1
31,Single Family,True,True,True,False,2013,650000.0,2020,8363.0,3047.0,4.0,4,1
32,Single Family,False,True,True,False,2015,196000.0,2019,5532.0,1399.0,2.0,3,1
33,Single Family,False,False,True,False,1985,239999.0,2018,411206.4,1264.0,2.0,3,1
34,Single Family,False,True,True,False,2005,830000.0,2019,19166.4,3573.0,5.0,4,2
35,Single Family,False,True,True,False,2000,219990.0,2019,6229.0,2035.0,3.0,3,2
36,Single Family,False,True,True,False,2009,195000.0,2019,6751.0,1304.0,2.0,3,1
37,Single Family,True,True,True,True,2005,4250000.0,2018,106286.4,7284.0,7.0,7,2
38,Single Family,True,True,True,False,2016,309999.0,2018,7100.0,1907.0,3.0,3,2
39,Single Family,True,True,True,False,1988,427000.0,2020,10890.0,2484.0,3.0,4,2
40,Single Family,False,True,True,False,2006,205000.0,2018,4399.0,2088.0,3.0,4,1
41,Single Family,False,True,True,False,2013,300000.0,2018,43560.0,2100.0,3.0,4,1
42,Single Family,False,True,True,True,2008,344600.0,2019,6786.0,2134.0,3.0,3,2
43,Single Family,True,True,True,True,1992,3395000.0,2020,86684.4,4747.0,5.0,5,1
44,Single Family,True,True,True,False,2015,399900.0,2020,8537.0,2629.0,3.0,3,1
45,Single Family,True,True,True,False,1991,648000.0,2020,11325.6,2567.0,3.0,4,2
46,Single Family,False,True,True,False,2009,186500.0,2018,7797.0,1420.0,2.0,3,1
47,Single Family,True,True,True,False,2015,219000.0,2020,4617.0,1267.0,2.0,3,1
48,Single Family,False,True,True,False,2004,179900.0,2018,5924.0,1194.0,2.0,3,1
49,Single Family,False,True,True,False,2011,405000.0,2020,5619.0,2142.0,2.0,3,1
50,Single Family,True,True,True,True,2006,2950000.0,2019,68389.2,9591.0,7.0,5,2
51,Single Family,False,True,True,True,1993,565000.0,2019,1001880.0,2169.0,3.0,3,2
52,Single Family,False,True,True,False,2014,194098.0,2019,5445.0,1296.0,2.0,3,1
53,Single Family,True,True,True,False,2018,255700.0,2019,6098.0,2570.0,3.0,4,2
54,Single Family,False,True,True,False,1989,495000.0,2019,9147.0,3140.0,3.0,5,2
